parcel_id,split,systeme,label,area_ha,B02_mean,B02_std,B03_mean,B03_std,B04_mean,B04_std,B08_mean,B08_std,B11_mean,B11_std,ndvi_mean,ndvi_std,ndvi_p25,ndvi_p75,ndwi_mean,ndwi_std,ndwi_p25,ndwi_p75,ndre_mean,ndre_std,ndre_p25,ndre_p75,glcm_contrast,glcm_homogeneity,nir_red_ratio
parcel_1777667302238_zjnhu,train,intensif,1,18.077181996645837,798.7210083007812,262.45257568359375,1185.8016357421875,341.9998779296875,1572.1334228515625,472.8368225097656,3017.910400390625,349.2396240234375,3460.2421875,591.4777221679688,0.326626718044281,0.12377718091011047,0.23101329803466797,0.3762373626232147,-0.4436895251274109,0.09574607014656067,-0.49656569957733154,-0.36856213212013245,-0.06415342539548874,0.08443640172481537,-0.12773245573043823,-0.022036533802747726,591.7794656888424,0.13543667314570668,2.0979201793670654
parcel_1777667330430_52762,train,intensif,1,45.633484593938114,778.8184204101562,305.5119323730469,1147.82861328125,401.205322265625,1507.3199462890625,584.0864868164062,2991.951904296875,386.27716064453125,3357.002685546875,734.2142333984375,0.3507672846317291,0.13256974518299103,0.2292107343673706,0.46336305141448975,-0.45862168073654175,0.10166693478822708,-0.5450907349586487,-0.3750380873680115,-0.04966338723897934,0.0825374647974968,-0.12387443333864212,0.01501505821943283,490.202785985648,0.1487685533500569,2.22340989112854
parcel_1777665966157_egeq5,val,extensif,0,94.92092846720377,1226.8843994140625,189.718994140625,1887.1944580078125,303.0065612792969,2620.435546875,437.3287048339844,3869.8037109375,472.64947509765625,5029.5283203125,406.2637023925781,0.19528114795684814,0.043378520756959915,0.16906455159187317,0.21436753869056702,-0.3462549149990082,0.03334057703614235,-0.36503708362579346,-0.3254733383655548,-0.13231584429740906,0.03899111971259117,-0.15685835480690002,-0.10818330198526382,820.8711419753085,0.07351000433796312,1.4950132369995117
parcel_1777666032243_cm5hf,train,extensif,0,2104.0940821600525,1386.3131103515625,172.27769470214844,2244.0400390625,258.6353759765625,3512.17724609375,450.99237060546875,4622.0458984375,433.2745056152344,5814.27685546875,460.5395202636719,0.13844247162342072,0.02963962033390999,0.1199474185705185,0.15146277844905853,-0.34690749645233154,0.031426168978214264,-0.36307206749916077,-0.3348127603530884,-0.11482590436935425,0.02772146835923195,-0.12530237436294556,-0.10249380767345428,1212.3099793080087,0.057903451450463696,1.324409008026123
parcel_1777666069829_t5ehp,train,extensif,0,2988.389915036504,1418.61572265625,180.0458984375,2271.061767578125,269.71685791015625,3519.0322265625,450.8308410644531,4633.77294921875,437.4486083984375,5848.1748046875,432.9383544921875,0.13861118257045746,0.02905379980802536,0.11973270028829575,0.15041813254356384,-0.342925488948822,0.02931348979473114,-0.36049801111221313,-0.32659733295440674,-0.11673599481582642,0.026884810999035835,-0.12882447242736816,-0.10244321078062057,977.0685401131075,0.06466454823499994,1.3247084617614746
parcel_1777666096636_lo0y0,val,extensif,0,369.5143302028536,1308.46923828125,168.7323760986328,1961.439208984375,318.1968688964844,2841.218505859375,518.189453125,3695.261962890625,620.80517578125,5236.49267578125,472.1851806640625,0.13190853595733643,0.022189373150467873,0.11799536645412445,0.14217956364154816,-0.30572986602783203,0.023916935548186302,-0.320089727640152,-0.28881803154945374,-0.17743149399757385,0.04849915951490402,-0.20750898122787476,-0.14246846735477448,652.5581484535292,0.08048149604872136,1.305559754371643
parcel_1777666127269_tb54q,train,extensif,0,555.0980749596731,1383.4698486328125,174.093505859375,2133.2646484375,285.6005859375,3157.075927734375,448.59661865234375,4139.119140625,469.5665588378906,5464.08056640625,463.68994140625,0.13652704656124115,0.028850575909018517,0.11726105213165283,0.14990513026714325,-0.32066941261291504,0.02920195274055004,-0.33758339285850525,-0.3034748435020447,-0.1392933577299118,0.033824458718299866,-0.15673568844795227,-0.11775147914886475,977.5063633990342,0.06644528771285713,1.3190258741378784
parcel_1777666170696_fk7cq,train,extensif,0,1807.1164396063298,1325.6104736328125,229.13243103027344,1980.846435546875,364.0664978027344,2851.2958984375,563.465087890625,3888.878662109375,631.767333984375,5100.20361328125,541.2959594726562,0.15730932354927063,0.029586104676127434,0.1379300355911255,0.17207355797290802,-0.32632115483283997,0.029360231012105942,-0.3448873460292816,-0.30955183506011963,-0.13871848583221436,0.042001888155937195,-0.15848147869110107,-0.11195597797632217,526.0019847328244,0.08868418430244362,1.3764598369598389
parcel_1777666196106_hhim9,train,extensif,0,189.6459480475336,1316.8104248046875,219.54103088378906,2065.03759765625,311.15374755859375,3080.7294921875,480.7063903808594,4236.40673828125,430.250244140625,5321.8154296875,448.1549377441406,0.16126707196235657,0.04060664400458336,0.13458435237407684,0.17876261472702026,-0.3467501699924469,0.03606921806931496,-0.36753034591674805,-0.3253498673439026,-0.11430276185274124,0.027063850313425064,-0.13100484013557434,-0.09924669563770294,1299.0012924546822,0.051539042630599004,1.3909329175949097
parcel_1777666217906_3lfgs,train,extensif,0,214.9880465862079,1317.3636474609375,211.91006469726562,2056.44970703125,332.8452453613281,3069.7802734375,512.523193359375,4179.978515625,520.7322998046875,5370.89794921875,458.4331970214844,0.15628083050251007,0.03451811149716377,0.13257525861263275,0.17510516941547394,-0.34237030148506165,0.03136925771832466,-0.3620097041130066,-0.3226793706417084,-0.1268528699874878,0.03136059269309044,-0.1419445127248764,-0.1072295606136322,1131.0752136452788,0.058741445200381104,1.3750331401824951
parcel_1777666232428_43q5u,train,extensif,0,117.86978313823562,1203.9473876953125,193.83987426757812,1907.478271484375,274.9619140625,2903.968994140625,392.1385498046875,4042.1708984375,383.1393737792969,5250.3759765625,314.39678955078125,0.1660033017396927,0.0297367163002491,0.1455884575843811,0.1831437647342682,-0.36074304580688477,0.030814694240689278,-0.3808121681213379,-0.34276825189590454,-0.13129834830760956,0.026625538244843483,-0.1477837860584259,-0.11402828991413116,1450.4565582754842,0.05120375936063955,1.4012502431869507
